epoch,phase,loss,reg_loss,cls_loss,MAE_mean,RMSE_mean,R2_mean,cat_acc,lr,elapsed_s
1,train,20869.556599,27825.528883,1.640491,118.817818,166.809331,-0.875438,0.282087,0.00025,562.57
1,val,8651.613097,11535.097561,1.160121,59.634726,107.414228,-0.064097,0.394121,0.00025,562.57
2,train,6339.315,8452.077178,1.028721,51.804137,91.898476,0.430356,0.586307,0.000375,602.03
2,val,2283.05581,3043.856545,0.653705,31.217242,54.623316,0.719305,0.69679,0.000375,602.03
3,train,1907.571073,2543.162435,0.797055,29.191583,49.859127,0.828603,0.68198,0.0005,573.96
3,val,1589.743927,2119.452095,0.619475,28.080896,44.967023,0.804599,0.744829,0.0005,573.96
4,train,1064.446167,1419.05197,0.628802,22.131865,36.683517,0.904365,0.760067,0.000625,586.41
4,val,1503.804237,2004.904795,0.502622,25.972708,41.239358,0.815271,0.799509,0.000625,586.41
