city,MAE,RMSE,R2,n,horizon
Brajrajnagar,50.77899932861328,67.72799682617188,-0.492,4130.0,t+72h
Chandigarh,33.77899932861328,44.45600128173828,-1.817,4130.0,t+72h
Chennai,17.28700065612793,26.2810001373291,-0.131,4130.0,t+72h
Coimbatore,17.593000411987305,22.990999221801758,-0.03,4130.0,t+72h
Delhi,48.19200134277344,62.465999603271484,0.407,4130.0,t+72h
Ernakulam,26.66699981689453,37.027000427246094,-2.957,3613.0,t+72h
Gurugram,39.88600158691406,53.69200134277344,0.08,4130.0,t+72h
Guwahati,51.34700012207031,72.46199798583984,0.605,4130.0,t+72h
Hyderabad,17.493999481201172,22.58300018310547,0.279,4130.0,t+72h
Jaipur,20.885000228881836,27.003999710083008,-0.129,4130.0,t+72h
Jorapokhar,29.42099952697754,40.04399871826172,-0.057,4130.0,t+72h
Kochi,30.535999298095703,41.52899932861328,-0.626,3615.0,t+72h
Kolkata,30.72599983215332,45.742000579833984,0.626,4130.0,t+72h
Lucknow,56.180999755859375,70.39199829101562,0.18,4130.0,t+72h
Mumbai,23.625,33.03300094604492,0.564,4130.0,t+72h
Patna,37.0,49.382999420166016,0.374,4130.0,t+72h
Shillong,52.90800094604492,122.55400085449219,-13.603,4130.0,t+72h
Talcher,43.49700164794922,64.81900024414062,0.426,4130.0,t+72h
Thiruvananthapuram,13.11400032043457,22.32900047302246,-0.134,4130.0,t+72h
Visakhapatnam,25.742000579833984,35.540000915527344,0.19,4130.0,t+72h
