city,MAE,RMSE,R2,n,horizon
Brajrajnagar,44.70500183105469,59.99399948120117,-0.171,4130.0,t+72h
Chandigarh,33.595001220703125,38.683998107910156,-1.133,4130.0,t+72h
Chennai,29.940000534057617,34.72800064086914,-0.975,4130.0,t+72h
Coimbatore,17.371999740600586,21.510000228881836,0.098,4130.0,t+72h
Delhi,48.2130012512207,67.45700073242188,0.309,4130.0,t+72h
Ernakulam,22.509000778198242,27.371999740600586,-1.163,3613.0,t+72h
Gurugram,43.242000579833984,64.22100067138672,-0.316,4130.0,t+72h
Guwahati,46.5989990234375,62.98400115966797,0.701,4130.0,t+72h
Hyderabad,25.32200050354004,30.03700065612793,-0.275,4130.0,t+72h
Jaipur,23.44499969482422,28.270999908447266,-0.237,4130.0,t+72h
Jorapokhar,34.86399841308594,43.395999908447266,-0.241,4130.0,t+72h
Kochi,36.38199996948242,43.3390007019043,-0.771,3615.0,t+72h
Kolkata,33.63600158691406,44.64699935913086,0.643,4130.0,t+72h
Lucknow,48.45399856567383,63.9739990234375,0.323,4130.0,t+72h
Mumbai,34.1150016784668,41.566001892089844,0.31,4130.0,t+72h
Patna,40.72999954223633,51.683998107910156,0.314,4130.0,t+72h
Shillong,66.11799621582031,105.79900360107422,-9.883,4130.0,t+72h
Talcher,41.492000579833984,57.69499969482422,0.545,4130.0,t+72h
Thiruvananthapuram,20.5939998626709,24.176000595092773,-0.329,4130.0,t+72h
Visakhapatnam,31.173999786376953,40.0629997253418,-0.029,4130.0,t+72h
