epoch,phase,loss,reg_loss,cls_loss,MAE_mean,RMSE_mean,R2_mean,cat_acc,lr,elapsed_s
1,train,2452.261482,3269.332765,1.047732,32.953041,56.749647,0.779659,0.565364,0.00025,690.18
1,val,2019.617933,2692.540195,0.851234,34.143646,51.153873,0.751766,0.653323,0.00025,690.18
2,train,1076.631679,1435.225149,0.851311,23.741636,36.931784,0.903274,0.65529,0.000375,705.47
2,val,2207.624175,2943.224407,0.823545,32.761901,52.54192,0.728618,0.651684,0.000375,705.47
3,train,801.774145,1068.754439,0.833294,20.622681,31.944112,0.927966,0.6705,0.0005,704.19
3,val,2209.574841,2945.812197,0.862848,34.707472,52.45488,0.728406,0.636913,0.0005,704.19
4,train,658.138468,877.243735,0.822693,18.79975,29.063842,0.940874,0.682366,0.000625,697.4
4,val,2210.659495,2947.264176,0.845523,33.850038,52.266499,0.728308,0.657166,0.000625,697.4
