epoch,phase,loss,reg_loss,cls_loss,MAE_mean,RMSE_mean,R2_mean,cat_acc,lr,elapsed_s
1,train,19177.62988,25569.643608,1.589429,112.170135,159.840469,-0.723358,0.294868,0.00025,33148.67
1,val,4406.972194,5875.672785,0.870543,42.5568,76.459195,0.458028,0.567572,0.00025,33148.67
2,train,1822.73168,2430.033302,0.826875,28.521665,49.006657,0.836226,0.673133,0.000375,13062.04
2,val,1598.466214,2131.083424,0.614639,27.837373,43.386017,0.80357,0.73171,0.000375,13062.04
    3,train,655.07828,873.22016,0.652664,18.113828,28.557244,0.941147,0.744783,0.0005,13800.72
3,val,1723.027566,2297.183279,0.560481,28.305658,43.820805,0.788232,0.765822,0.0005,13800.72
4,train,373.512098,497.815258,0.602632,14.244664,21.552959,0.966449,0.765955,0.000625,15835.35
4,val,1826.145141,2434.667955,0.576761,29.610902,45.387326,0.775507,0.761573,0.000625,15835.35
